index,budget,genres,homepage,id,keywords,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,cast,director,userId
53,185000000,Adventure Action,http://www.indianajones.com/site/index.html,217,saving the world riddle whip treasure mexico city,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,21-05-2008,786636033,122,Released,The adventure continues . . .,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,Steven Spielberg,30
54,175000000,Adventure Animation Family,http://movies.disney.com/the-good-dinosaur,105864,tyrannosaurus rex friends alternate history dinosaur fear,en,The Good Dinosaur,51.692953,14-11-2015,331926147,93,Released,Little Arms With Big Attitude,The Good Dinosaur,6.6,1736,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Peter Sohn,24
55,185000000,Animation Adventure Comedy Family Action,http://disney.go.com/brave/#/home,62177,scotland rebel bravery kingdom archer,en,Brave,125.114374,21-06-2012,538983207,93,Released,Change your fate.,Brave,6.7,4641,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Brenda Chapman,20
56,185000000,Action Adventure Science Fiction,http://www.startrekmovie.com/,188927,sequel stranded hatred space opera,en,Star Trek Beyond,65.352913,07-07-2016,343471816,122,Released,,Star Trek Beyond,6.6,2568,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana,Justin Lin,7
57,180000000,Animation Family,http://disney.go.com/disneypictures/wall-e/,10681,romantic comedy,en,WALLÂ·E,66.390712,22-06-2008,521311860,98,Released,An adventure beyond the ordinar-E.,WALLÂ·E,7.8,6296,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,Andrew Stanton,35
58,140000000,Action Comedy Crime Thriller,,5174,ambassador,en,Rush Hour 3,22.57178,08-08-2007,258022233,91,Released,The Rush Is On!,Rush Hour 3,6.1,783,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,Brett Ratner,10
59,200000000,Action Adventure Science Fiction,http://www.sonypictures.com/movies/2012,14161,civilization natural disaster end of the world disaster apocalypse,en,2012,45.274225,10-10-2009,769653595,158,Released,We Were Warned.,2012,5.6,4903,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,Roland Emmerich,29
60,200000000,Animation Drama,http://disney.go.com/disneypictures/achristmascarol/?cmp=dcom_VAN_WDSHE_ACC_van_dcomcc__Extl,17979,holiday based on novel victorian england money christmas eve,en,A Christmas Carol,39.744242,04-11-2009,325233863,96,Released,Season's Greedings,A Christmas Carol,6.6,1095,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,Robert Zemeckis,39
61,176000003,Science Fiction Fantasy Action Adventure,http://www.jupiterascending.com,76757,jupiter space woman director 3d interspecies romance,en,Jupiter Ascending,85.36908,04-02-2015,183987723,124,Released,Expand your universe.,Jupiter Ascending,5.2,2768,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Lilly Wachowski,18
62,180000000,Action Adventure,http://legendoftarzan.com,258489,africa feral child tarzan jungle animal attack,en,The Legend of Tarzan,42.741719,29-06-2016,356743061,109,Released,Human. Nature.,The Legend of Tarzan,5.5,2430,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,David Yates,43
63,180000000,Adventure Family Fantasy,,411,saving the world witch based on novel brother sister relationship self sacrifice,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,07-12-2005,748806957,143,Released,Evil Has Reigned For 100 Years...,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,Andrew Adamson,16
64,178000000,Science Fiction,http://www.foxmovies.com/movies/x-men-apocalypse,246655,mutant supernatural powers marvel comic superhero based on comic book,en,X-Men: Apocalypse,139.272042,18-05-2016,543934787,144,Released,Only the strong will survive,X-Men: Apocalypse,6.4,4721,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Bryan Singer,37
65,185000000,Drama Action Crime Thriller,http://thedarkknight.warnerbros.com/dvdsite/,155,dc comics crime fighter secret identity scarecrow sadism,en,The Dark Knight,187.322927,16-07-2008,1004558444,152,Released,Why So Serious?,The Dark Knight,8.2,12002,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,Christopher Nolan,21
,175000000,Animation Comedy Family Adventure,http://disney.go.com/disneypictures/up/,14160,age difference central and south america balloon animation floating in the air,en,Up,92.201962,13-05-2009,735099082,96,Released,,Up,7.7,6870,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,Pete Docter,42
67,175000000,Animation Family Adventure Science Fiction,http://www.monstersvsaliens.com/,15512,alien giant robot duringcreditsstinger,en,Monsters vs Aliens,36.167578,19-03-2009,381509870,94,Released,"When aliens attack, monsters fight back.",Monsters vs Aliens,6,1423,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,Conrad Vernon,37
68,140000000,Action Science Fiction Adventure,http://www.ironmanmovie.com/,1726,middle east arms dealer malibu marvel comic superhero,en,Iron Man,120.725053,30-04-2008,585174222,126,Released,Heroes aren't born. They're built.,Iron Man,7.4,8776,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Jon Favreau,31
69,170000000,Adventure Drama Family,http://www.hugomovie.com/,44826,library clock film director key toy,en,Hugo,32.319043,22-11-2011,185770160,126,Released,One of the most legendary directors of our time takes you on an extraordinary adventure.,Hugo,7,2141,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,Martin Scorsese,7
70,170000000,Action Adventure Comedy Science Fiction Western,,8487,steampunk based on tv series steam locomotive drag,en,Wild Wild West,40.748915,29-06-1999,222104681,106,Released,It's a whole new west.,Wild Wild West,,1020,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,Barry Sonnenfeld,24
